ProductID,ProductName,Category,UnitPrice,StockQuantity,Supplier
2000,Electronics-Be,Electronics,969.31,45,TechCorp
2001,Electronics-Be,Clothing,412.35,120,FashionInc
2002,Office-Family,Clothing,866.0,88,FashionInc
2003,Electronics-Training,Clothing,385.18,0,FashionInc
2004,Office-Where,Home,927.25,156,HomeGoods Co
2005,Office-Huge,Home,428.78,234,HomeGoods Co
2006,Office-Class,Clothing,198.0,67,FashionInc
2007,Clothing-Over,Electronics,583.39,23,TechCorp
2008,Electronics-Skin,Home,66.59,189,HomeGoods Co
2009,Office-Raise,Clothing,66.31,145,FashionInc
2010,Electronics-Themselves,Clothing,77.84,98,FashionInc
2011,Electronics-Religious,Clothing,409.74,56,FashionInc
2012,Clothing-Artist,Electronics,623.19,34,TechCorp
2013,Office-Cultural,Home,935.36,167,HomeGoods Co
2014,Clothing-Eat,Home,246.3,278,HomeGoods Co
2015,Office-Itself,Clothing,674.97,45,FashionInc
2016,Home-He,Office,323.02,89,OfficePro
2017,Electronics-Feeling,Electronics,463.7,12,TechCorp
2018,Electronics-Nature,Electronics,542.26,67,TechCorp
2019,Home-History,Clothing,933.93,234,FashionInc
2020,Electronics-Share,Clothing,375.83,156,FashionInc
2021,Clothing-Skill,Office,835.41,78,OfficePro
2022,Home-Economy,Electronics,671.18,23,TechCorp
2023,Home-Yeah,Electronics,939.54,45,TechCorp
2024,Clothing-Paper,Home,124.27,189,HomeGoods Co
2025,Electronics-Assume,Clothing,279.62,0,FashionInc
2026,Clothing-Use,Home,211.56,267,HomeGoods Co
2027,Home-Purpose,Office,258.61,145,OfficePro
2028,Electronics-Take,Electronics,637.94,34,TechCorp
2029,Home-Yourself,Electronics,13.51,456,TechCorp
2030,Clothing-First,Home,169.97,178,HomeGoods Co
2031,Office-Develop,Office,565.3,89,OfficePro
2032,Electronics-There,Electronics,945.6,23,TechCorp
2033,Clothing-Argue,Electronics,836.25,67,TechCorp
2034,Clothing-Feel,Office,136.17,234,OfficePro
2035,Home-According,Home,899.99,156,HomeGoods Co
2036,Electronics-Candidate,Home,217.98,278,HomeGoods Co
2037,Clothing-Meeting,Electronics,360.14,45,TechCorp
2038,Office-Soon,Clothing,926.51,120,FashionInc
2039,Clothing-Need,Clothing,976.44,88,FashionInc
2040,Clothing-Determine,Office,34.54,156,OfficePro
2041,Home-Assume,Office,804.21,234,OfficePro
2042,Clothing-Lawyer,Home,167.61,67,HomeGoods Co
2043,Electronics-Practice,Office,873.45,189,OfficePro
2044,Office-Society,Clothing,207.58,145,FashionInc
2045,Office-Next,Home,312.14,98,HomeGoods Co
2046,Clothing-Worry,Clothing,33.43,56,FashionInc
2047,Clothing-Hair,Office,334.98,34,OfficePro
2048,Electronics-Candidate,Home,357.63,167,HomeGoods Co
2049,Office-Easy,Home,939.84,278,HomeGoods Co
2050,Electronics-Young,Home,186.78,45,HomeGoods Co
2051,Home-Century,Electronics,117.32,120,TechCorp
2052,Office-Year,Home,731.26,88,HomeGoods Co
2053,Home-Ground,Office,610.15,156,OfficePro
2054,Electronics-Above,Office,900.51,234,OfficePro
2055,Clothing-Politics,Home,53.94,67,HomeGoods Co
2056,Office-About,Electronics,524.72,189,TechCorp
2057,Clothing-Identify,Home,436.98,145,HomeGoods Co
2058,Home-Wear,Home,666.75,98,HomeGoods Co
2059,Electronics-Clear,Home,512.05,56,HomeGoods Co
2060,Office-Term,Home,408.38,34,HomeGoods Co
2061,Home-Quite,Clothing,199.92,167,FashionInc
2062,Office-Receive,Clothing,619.36,278,FashionInc
2063,Home-Good,Office,552.46,45,OfficePro
2064,Electronics-Stop,Home,294.04,120,HomeGoods Co
2065,Office-Animal,Home,470.34,88,HomeGoods Co
2066,Office-Occur,Clothing,516.06,156,FashionInc
2067,Clothing-Remain,Electronics,290.95,234,TechCorp
2068,Home-Read,Electronics,820.24,67,TechCorp
2069,Clothing-Garden,Home,232.39,189,HomeGoods Co
2070,Clothing-About,Clothing,34.18,145,FashionInc
2071,Clothing-Success,Office,615.16,98,OfficePro
2072,Electronics-Become,Office,420.3,56,OfficePro
2073,Clothing-Executive,Office,499.43,34,OfficePro
2074,Clothing-Strong,Clothing,659.5,167,FashionInc
2075,Electronics-Letter,Electronics,780.64,278,TechCorp
2076,Clothing-Affect,Clothing,806.07,45,FashionInc
2077,Office-Ball,Electronics,561.83,120,TechCorp
2078,Electronics-Film,Office,142.01,88,OfficePro
2079,Office-Who,Home,950.54,156,HomeGoods Co
2080,Office-Doctor,Office,832.26,234,OfficePro
2081,Office-Light,Clothing,746.22,67,FashionInc
2082,Office-Figure,Office,266.6,189,OfficePro
2083,Clothing-Cut,Home,768.16,145,HomeGoods Co
2084,Office-Stuff,Clothing,281.85,98,FashionInc
2085,Electronics-Officer,Home,242.15,56,HomeGoods Co
2086,Home-Of,Home,894.1,34,HomeGoods Co
2087,Electronics-Rather,Clothing,159.32,167,FashionInc
2088,Office-Evening,Clothing,709.35,278,FashionInc
2089,Electronics-Action,Office,413.52,45,OfficePro
2090,Office-Staff,Office,71.64,120,OfficePro
2091,Office-Mrs,Office,905.79,88,OfficePro
2092,Electronics-Add,Office,482.21,156,OfficePro
2093,Home-Real,Home,755.94,234,HomeGoods Co
2094,Office-Fight,Clothing,493.35,67,FashionInc
2095,Home-Seem,Office,490.79,189,OfficePro
2096,Office-Discuss,Home,672.18,145,HomeGoods Co
2097,Office-Recent,Clothing,842.1,98,FashionInc
2098,Clothing-Trouble,Electronics,907.86,56,TechCorp
2099,Electronics-Several,Electronics,646.32,34,TechCorp
