productid,productname,category,unitprice,stockquantity,supplier,productcategory
2000,Electronics-Be,Electronics,969.31,45,TechCorp,Clothing
2001,Electronics-Be,Clothing,412.35,120,FashionInc,Sports
2002,Office-Family,Clothing,866.0,88,FashionInc,Home
2003,Electronics-Training,Clothing,385.18,0,FashionInc,Home
2004,Office-Where,Home,927.25,156,HomeGoods Co,Electronics
2005,Office-Huge,Home,428.78,234,HomeGoods Co,Electronics
2006,Office-Class,Clothing,198.0,67,FashionInc,Electronics
2007,Clothing-Over,Electronics,583.39,23,TechCorp,Sports
2008,Electronics-Skin,Home,66.59,189,HomeGoods Co,Home
2009,Office-Raise,Clothing,66.31,145,FashionInc,Home
2010,Electronics-Themselves,Clothing,77.84,98,FashionInc,Electronics
2011,Electronics-Religious,Clothing,409.74,56,FashionInc,Sports
2012,Clothing-Artist,Electronics,623.19,34,TechCorp,Sports
2013,Office-Cultural,Home,935.36,167,HomeGoods Co,Electronics
2014,Clothing-Eat,Home,246.3,278,HomeGoods Co,Electronics
2015,Office-Itself,Clothing,674.97,45,FashionInc,Electronics
2016,Home-He,Office,323.02,89,OfficePro,Clothing
2017,Electronics-Feeling,Electronics,463.7,12,TechCorp,Clothing
2018,Electronics-Nature,Electronics,542.26,67,TechCorp,Clothing
2019,Home-History,Clothing,933.93,234,FashionInc,Electronics
2020,Electronics-Share,Clothing,375.83,156,FashionInc,Home
2021,Clothing-Skill,Office,835.41,78,OfficePro,Electronics
2022,Home-Economy,Electronics,671.18,23,TechCorp,Electronics
2023,Home-Yeah,Electronics,939.54,45,TechCorp,Clothing
2024,Clothing-Paper,Home,124.27,189,HomeGoods Co,Clothing
2025,Electronics-Assume,Clothing,279.62,0,FashionInc,Home
2026,Clothing-Use,Home,211.56,267,HomeGoods Co,Electronics
2027,Home-Purpose,Office,258.61,145,OfficePro,Clothing
2028,Electronics-Take,Electronics,637.94,34,TechCorp,Home
2029,Home-Yourself,Electronics,13.51,456,TechCorp,Electronics
2030,Clothing-First,Home,169.97,178,HomeGoods Co,Home
2031,Office-Develop,Office,565.3,89,OfficePro,Electronics
2032,Electronics-There,Electronics,945.6,23,TechCorp,Electronics
2033,Clothing-Argue,Electronics,836.25,67,TechCorp,Sports
2034,Clothing-Feel,Office,136.17,234,OfficePro,Sports
2035,Home-According,Home,899.99,156,HomeGoods Co,Sports
2036,Electronics-Candidate,Home,217.98,278,HomeGoods Co,Clothing
2037,Clothing-Meeting,Electronics,360.14,45,TechCorp,Electronics
2038,Office-Soon,Clothing,926.51,120,FashionInc,Home
2039,Clothing-Need,Clothing,976.44,88,FashionInc,Clothing
2040,Clothing-Determine,Office,34.54,156,OfficePro,Electronics
2041,Home-Assume,Office,804.21,234,OfficePro,Clothing
2042,Clothing-Lawyer,Home,167.61,67,HomeGoods Co,Electronics
2043,Electronics-Practice,Office,873.45,189,OfficePro,Sports
2044,Office-Society,Clothing,207.58,145,FashionInc,Electronics
2045,Office-Next,Home,312.14,98,HomeGoods Co,Home
